Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
48,Gran Turismo 4,PlayStation 2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,,,,
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,89,74,8.5,272
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo 3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,97,73,8.9,2147
51,Super Mario Land 2: 6 Golden Coins,Game Boy,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,
52,Grand Theft Auto IV,Xbox 360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,98,86,7.9,2951
53,Gran Turismo,PlayStation,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138
54,Super Mario 3D Land,Nintendo 3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,90,82,8.4,921
55,Gran Turismo 5,PlayStation 3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,84,82,7.5,1112
56,Call of Duty: Modern Warfare 2,PlayStation 3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,94,67,6.3,2073
57,Grand Theft Auto IV,PlayStation 3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,,,,
58,Super Mario All-Stars,Super NES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,98,64,7.5,2833
59,Pokemon FireRed/Pokemon LeafGreen,Game Boy Advance,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,
60,Super Mario 64,Nintendo DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,,,,
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26,73,29,2.6,2117
62,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,74,15,7.8,16
63,Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,78,70,7.2,424
64,Mario Kart 64,Nintendo 64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,
65,New Super Mario Bros. 2,Nintendo 3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,91,99,7.9,2045
66,Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,92,20,9.2,1282
67,Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,87,87,7,3260
68,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,93,23,9,135
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,74,24,7.3,24
70,Gran Turismo 2,PlayStation,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,71,10,2.6,1047
71,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,94,70,8.4,1320
72,Donkey Kong Country,Super NES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3,,,,
73,Minecraft,Xbox 360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,,,,
74,Animal Crossing: New Leaf,Nintendo 3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,88,70,8.7,626
75,Mario Party DS,Nintendo DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,72,27,7.8,85
76,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,96,89,8.4,3589
77,Super Mario Kart,Super NES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,
78,FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,82,42,4.3,896
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,95,91,8.2,1218
80,Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,68,42,7.4,54
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,62,41,6.3,190
82,Pokemon Black 2/Pokemon White 2,Nintendo DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,88,37,6.6,348
83,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,,,,
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11,,,,
85,GoldenEye 007,Nintendo 64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,92,53,8.7,1056
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,86,75,7.6,886
87,Final Fantasy X,PlayStation 2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,,,,
88,Final Fantasy VIII,PlayStation,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,,,,
89,Pokémon Platinum Version,Nintendo DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,90,24,8.6,644
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,,,,
91,Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,83,46,8.5,203
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,88,65,7.6,451
93,Star Wars Battlefront (2015),PlayStation 4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,83,39,5.7,1443
94,Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,,,,
95,The Legend of Zelda: Ocarina of Time,Nintendo 64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,85,41,5,398
96,Crash Bandicoot 2: Cortex Strikes Back,PlayStation,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,
98,Super Smash Bros. for Wii U and 3DS,Nintendo 3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,97,87,9.1,1854
99,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37,,,,
100,Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,,,,
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,84,84,7.6,580
102,Call of Duty: Black Ops 3,Xbox One,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,84,57,7.4,2142
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27,85,33,8.6,171
104,Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,49,21,8,110
105,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,38,7.5,1761
106,Tekken 3,PlayStation,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,87,58,6.5,4228
107,Crash Bandicoot 3: Warped,PlayStation,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,96,15,9.1,367
108,Super Smash Bros. Melee,Game Cube,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,95,73,9,1658
109,Mario Kart 8,Wii U,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,,,,
110,Fallout 4,PlayStation 4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,91,12,8.9,432
111,Mario Kart: Double Dash!!,Game Cube,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,88,82,9.1,1599
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91,92,38,9.1,568
113,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,,,,
114,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132
115,Medal of Honor: Frontline,PlayStation 2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135
116,Uncharted 3: Drake's Deception,PlayStation 3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,,,,
117,Crash Bandicoot,PlayStation,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,74,10,7.3,28
118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81,93,90,7.7,2739
119,Gears of War 2,Xbox 360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,92,97,8.3,3712
120,Uncharted 2: Among Thieves,PlayStation 3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,,,tbd,
121,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,94,44,8.4,993
122,FIFA 12,PlayStation 3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,96,105,8.8,5187
123,Big Brain Academy,Nintendo DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,,,,
124,Red Dead Redemption,PlayStation 3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,74,45,7.4,27
125,FIFA 15,PlayStation 4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,,,,
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,95,73,8.8,2456
127,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,86,37,4.3,576
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,85,41,6.9,1307
129,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,87,77,8.6,368
130,Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283
131,Pokémon Emerald Version,Game Boy Advance,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,92,16,6.4,2527
132,Kingdom Hearts,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,76,28,9,222
133,Pokémon Crystal Version,Game Boy,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,85,46,8.8,597
134,Halo 3: ODST,Xbox 360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,,,,
135,Red Dead Redemption,Xbox 360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,83,94,7.1,1163
136,Super Mario Sunshine,Game Cube,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,95,96,9,2316
137,Street Fighter II: The World Warrior,Super NES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,92,61,8.6,439
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28,,,,
139,Driver,PlayStation,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,93,57,7.3,2182
140,Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,87,22,8.1,78
141,Gears of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,91,96,7.8,1504
142,Gears of War,Xbox 360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,73,51,7.4,95
143,Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,94,88,8.3,2295
144,Sonic the Hedgehog 2,Genesis,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,82,47,5.7,988
145,Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,96,42,8.7,1026
146,Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,,,,
147,The Last of Us,PlayStation 3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,94,20,9.4,918
148,Final Fantasy XII,PlayStation 2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,94,82,8.7,3558
149,LittleBigPlanet,PlayStation 3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,92,64,7.6,972
150,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,95,98,9.1,8003
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83,95,85,6.8,5311
152,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364
153,Tekken 2,PlayStation,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,87,65,8.8,197
154,Cooking Mama,Nintendo DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,89,8,8.9,102
155,Destiny,PlayStation 4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,76,95,6.1,5380
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,80,17,8.9,62
157,Assassin's Creed II,PlayStation 3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,67,35,7.2,21
158,Super Smash Bros.,Nintendo 64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,
159,Assassin's Creed,Xbox 360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,,,,
160,Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,91,70,8.6,1202
161,Forza Motorsport 3,Xbox 360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,81,77,7.7,1074
162,Monster Hunter Freedom Unite,PlayStation Portable,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,92,90,8,516
163,Super Mario Advance,Game Boy Advance,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41
164,Mario Kart: Super Circuit,Game Boy Advance,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,81,48,8.7,124
165,Super Mario World,Game Boy Advance,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,96,42,8.6,2162
166,Pokemon Stadium,Nintendo 64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,97,14,7.9,764
167,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43,93,24,8.3,108
168,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,,,,
169,Minecraft,PlayStation 3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42,,,,
170,Final Fantasy XIII,PlayStation 3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,66,22,7.1,156
171,Dr. Mario,Game Boy,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,85,45,7.6,409
172,Pokemon Pinball,Game Boy,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,93,113,7.9,7064
173,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,,,,
174,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,83,83,7.3,2483
175,Final Fantasy X-2,PlayStation 2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,,,,
176,Donkey Kong 64,Nintendo 64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,94,22,8.9,779
177,Assassin's Creed II,Xbox 360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,84,61,6.7,1196
178,Professor Layton and the Curious Village,Nintendo DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,85,45,6.6,400
179,Tomb Raider II,PlayStation,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,,,,
180,Madden NFL 2004,PlayStation 2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,81,53,5.4,898
181,Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,,,,
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2,90,82,8.8,1305
183,Super Mario Bros. 3,Game Boy Advance,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,85,13,,
184,New Super Mario Bros. U,Wii U,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,94,29,8.5,140
185,Super Mario Land 3: Wario Land,Game Boy,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,
186,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,84,70,8.1,733
187,The Legend of Zelda: Phantom Hourglass,Nintendo DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,89,63,8.8,245
188,Donkey Kong Country 2: Diddy's Kong Quest,Super NES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,
189,Tomodachi Life,Nintendo 3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,85,72,8.6,147
190,Mario & Sonic at the Olympic Games,Nintendo DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14,,,,
191,Medal of Honor: Rising Sun,PlayStation 2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,90,48,6.1,403
192,Kirby's Dream Land,Game Boy,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,
193,Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,88,86,4,9629
194,Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,68,30,7.6,100
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,,,,
196,Guitar Hero II,PlayStation 2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,,,,
197,Resident Evil 5,PlayStation 3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11,92,69,8.5,112
198,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08,80,88,6.5,604
199,Grand Theft Auto: Vice City Stories,PlayStation Portable,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,,,,
200,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,84,76,7.5,667
201,Super Mario Bros.,Game Boy,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,90,57,8,416
202,Resident Evil,PlayStation,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,,,,
203,Tony Hawk's Pro Skater,PlayStation,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,89,51,8,233
204,Super Smash Bros. for Wii U and 3DS,Wii U,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,91,8,9,266
205,Warzone 2100,PlayStation,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01,86,50,8,150
206,Spyro the Dragon,PlayStation,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,92,18,9.2,69
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5,,,,
208,Guitar Hero III: Legends of Rock,PlayStation 2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,,,,
209,Fallout 3,Xbox 360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,82,24,8.2,46
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Nintendo DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,68,34,7.1,47
211,Uncharted: Drake's Fortune,PlayStation 3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,,,,
212,Madden NFL 06,PlayStation 2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,93,84,8.5,1655
213,LEGO Star Wars: The Complete Saga,Nintendo DS,2007,Action,LucasArts,2.89,1.54,0,0.46,4.9,88,66,8.1,2306
214,Diddy Kong Racing,Nintendo 64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,88,29,8,121
215,Monster Hunter Freedom 3,PlayStation Portable,2010,Role-Playing,Capcom,0,0,4.87,0,4.87,,,,
216,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,,,,
